"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q2",0.341601962,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q3",0.846905052,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q4",0.820407109,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q1",0.885552587,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q2",0.061297813,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q3",0.946120917,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q4",0.754017127,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q1",2.039507129,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q2",1.67079955,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q3",0.774955663,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q4",0.393320041,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q1",1.565115509,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q2",0.303995321,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q3",0.660514205,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q4",-0.487694588,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-0.148470701,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q2",0.141930001,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q3",0.92155083,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q4",-1.071638106,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q1",2.715992789,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q2",0.54112008,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q3",0.822967085,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.235783839,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.838958884,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q2",2.269772354,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q3",0.944381888,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.674458738,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q1",2.474806377,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q2",1.08866253,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q3",-0.525898536,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q4",0.949216043,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q1",-0.859772574,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q2",0.237683227,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q3",-0.945142778,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-0.388140783,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q1",-1.217285876,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q2",0.714536216,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q3",1.711651967,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.346524152,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q1",2.248760121,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q2",0.733700577,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q3",0.548705764,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q4",0.724850978,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q1",1.181483598,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q2",1.944113078,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q3",1.804355899,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q4",0.002185772,
"USA","QGDP","TOT","PC_CHGPP","Q","1978-Q1",0.319163241,
"USA","QGDP","TOT","PC_CHGPP","Q","1978-Q2",3.864270188,
